class_name,class_desc,prereq,coreq
NU FS 480,"Established and emerging causative agents of microbial foodborne illness, their significance and control in the food chain. Rationale for regulatory intervention to enhance the microbiological safety of foods. Prerequisite: MICRB 265, NU FS 361, or NU FS 363.","['MICRB 265', 'NU FS 361', ['NU FS 363']]",
NU FS 481,Critical evaluation of current literature on the effects of ingredients and processing on quality characteristics of foods. Prerequisites: NU FS 374 and 3 units in BIOCH.,"['NU FS 374', '3 UNITS IN BIOCH']",
NU FS 490,Integrated exploration of emerging concepts and novel technologies and innovations in food science. Prerequisite: 60 units.,['60 UNITS'],
NU FS 499,"Advanced analysis of food and agri-industrial materials with a focus on good laboratory practices (GLP), chromatographic techniques (HPLC, GC), mass spectrometry, and other modern techniques from sample preparation to analysis of data. Prerequisite: NU FS 372.",['NU FS 372'],
NUTR 100,Principles of nutrition. The need for and functions of the major nutrients for humans. May contain alternative delivery sections: refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
NUTR 201,"This course introduces students to the profession of dietetics and its position with in the Canadian health care system. Topics covered include: history of dietetics; the structure of the health care system in Canada; roles of the Registered Dietitian, concepts of dietetic practice and jurisprudence for Registered Dietitians.",,
NUTR 301,"Fundamentals of nutrition, emphasizing energy, carbohydrates, lipids and proteins. The lab will use common techniques to illustrate principles of human nutrition. Not to be taken if credit received for NUTR 303. Prerequisites: BIOCH 200 and PHYSL 210. Pre- or corequisite: BIOCH 310.","['BIOCH 200', 'PHYSL 210']",['BIOCH 310']
NUTR 302,Fundamentals of nutrition with emphasis on vitamins and inorganic elements. The lab will use common techniques to illustrate principles of human nutrition. Not to be taken if credit received for NUTR 304. Prerequisites: BIOCH 310 and NUTR 301.,"['BIOCH 310', 'NUTR 301']",
NUTR 303,Fundamentals of nutrition with emphasis on vitamins and inorganic elements. Not to be taken if credit received for NUTR 301. Prerequisites: BIOCH 310 and PHYSL 210. NU FS 305 recommended.,"['BIOCH 310', 'PHYSL 210']",
NUTR 304,Fundamentals of nutrition with emphasis on vitamins and inorganic elements. Not to be taken if credit received for NUTR 302. Prerequisites: BIOCH 310 and PHYSL 210. NUTR 303 or NU FS 305 recommended.,"['BIOCH 310', 'PHYSL 210']",
NUTR 380,"Basic theory related to nutritional requirements for all levels of athletic performance. Application of sports nutrition concepts for recreational to elite level athletes. Course content includes energy systems, hydration, pre- and post-event nutrition, weight management and body composition issues of athletes and ergogenic aids. Prerequisite: NU FS 305 or (NUTR 301 or 303).","[['NU FS 305', '(NUTR 301', '(NUTR 03)']]",
NUTR 400,"Familiarizes students with skills required for the formation of a research problem, and for the execution and presentation of empirical research. Lectures incorporate key concepts of experimental design, logistics of data collection and basic analysis and are complemented by work with a faculty advisor to develop a research proposal. Students will present their proposal in a seminar. Prerequisites: NUTR 301 and 302.","['NUTR 301', 'NUTR 302']",
NUTR 401A,"An independent research project in nutritional science topics, supervised by a faculty member. It includes implementation of a research project, data analysis and presentation of results orally and in writing. Corequisite: NUTR 400.",,['NUTR 400']
NUTR 401B,"An independent research project in nutritional science topics, supervised by a faculty member. It includes implementation of a research project, data analysis and presentation of results orally and in writing. Corequisite: NUTR 400.",,['NUTR 400']
NUTR 408,"Application interprofessional competencies within the context of athlete nutrition and health. Students will apply core interprofessional competencies in communication, collaboration, role clarification, conflict resolution and reflection. Pre- or corequisite: INT D 403, or equivalent introductory interprofessional health education course (INT D 408), or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences, Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Agricultural, Life and Environmental Sciences].",,"[['INT D 403 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE (INT D 408)'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
NUTR 408A,"Application interprofessional competencies within the context of athlete nutrition and health. Students will apply core interprofessional competencies in communication, collaboration, role clarification, conflict resolution and reflection. Pre- or corequisite: INT D 403, or equivalent introductory interprofessional health education course (INT D 408), or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences, Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Agricultural, Life and Environmental Sciences].",,"[['INT D 403 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE (INT D 408)'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
NUTR 408B,"Application interprofessional competencies within the context of athlete nutrition and health. Students will apply core interprofessional competencies in communication, collaboration, role clarification, conflict resolution and reflection. Pre- or corequisite: INT D 403, or equivalent introductory interprofessional health education course (INT D 408), or approval of Health Sciences Education and Research Commons, Health Sciences Council. (Offered jointly by the following faculties: Agricultural, Life and Environmental Sciences, Kinesiology, Sport and Recreation; and Rehabilitation Medicine.) [Agricultural, Life and Environmental Sciences].",,"[['INT D 403 INTRODUCT', 'Y INTERPROFESSIONAL HEALTH EDUCATION COURSE (INT D 408)'], ['APPROVAL OF HEALTH SCIENCES EDUCATION'], 'RESEARCH COMMONS', 'HEALTH SCIENCES COUNCIL']"
NUTR 443,"This is an advanced course examining the relationship between the role of lifestyle factors in the etiology and pathophysiology, as well as the treatment of type 2 diabetes and cardiovascular disease. Application of recent findings to our understanding of these chronic metabolic diseases will be addressed. Prerequisites: (NUTR 301 or 303) and (NUTR 302 or 304).","[['(NUTR 301', '(NUTR 03)'], ['(NUTR 302', '(NUTR 04)']]",
NUTR 450,"An independent research project on topics in nutritional science and supervised by a faculty member. Normally this is a continuation of work begun in NUTR 400. It includes implementation of a research project relevant to dietetic practice, data analysis and presentation of results orally and in writing. Prerequisite: NUTR 400.",['NUTR 400'],
NUTR 452,"A lecture and reading course to review current research and the scientific basis of nutrition intervention in the prevention and treatment of chronic human disease. Translation of research findings to nutrition recommendations in topical areas including global health and food supply, obesity, cardiovascular disease, polycystic ovary syndrome and behavior-cognitive disorders. Prerequisites: (NUTR 302, NUTR 304, or NU FS 305) and NU FS 356. 6 units in PHYSL recommended.","['(NUTR 302', 'NUTR 304', ['NU FS 305)'], 'NU FS 356']",
NUTR 468,"Basic principles of nutrition in clinical situations. The role of diet in the management of various diseases. The laboratory sessions include practical experience in providing individualized nutritional care for client from various cultural backgrounds. Prerequisites: BIOCH 310, NUTR 201, NUTR 301 and PHYSL 210. May contain alternative delivery sections; refer to the refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['BIOCH 310', 'NUTR 201', 'NUTR 301', 'PHYSL 210']",
NUTR 469,"Practical experience in provision of nutrition care, focusing on basic skills of assessment, planning, implementation and evaluation. Continuing care agencies, rural health centres and acute care hospitals. Students may take this course simultaneously with INT D 411. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: NU FS 223, NUTR 466, and 468. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NU FS 223', 'NUTR 466', 'NUTR 468']",
NUTR 470,"Practical experience in assessing needs and planning, implementing and evaluating nutrition programs in a variety of community settings. Open only to students accepted into the Integrated Dietetic Internship. Prerequisite: NU FS 223, 377 and NUTR 466. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NU FS 223', 'NU FS 377', 'NUTR 466']",
NUTR 470A,"Practical experience in assessing needs and planning, implementing and evaluating nutrition programs in a variety of community settings. Open only to students accepted into the Integrated Dietetic Internship. Prerequisite: NU FS 223, 377 and NUTR 466. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NU FS 223', 'NU FS 377', 'NUTR 466']",
NUTR 470B,"Practical experience in assessing needs and planning, implementing and evaluating nutrition programs in a variety of community settings. Open only to students accepted into the Integrated Dietetic Internship. Prerequisite: NU FS 223, 377 and NUTR 466. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NU FS 223', 'NU FS 377', 'NUTR 466']",
NUTR 471,"Practical experience in assessment, planning implementation and evaluation of foodservice systems. Institutional, community and commercial settings. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: (NU FS 363 or 361), NU FS 461, NUTR 466 and (AREC 323 or alternate business course). Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","[['(NU FS 363', '(NU FS 61)'], 'NU FS 461', 'NUTR 466', ['(AREC 323', 'ALTERNATE BUSINESS COURSE)']]",
NUTR 471A,"Practical experience in assessment, planning implementation and evaluation of foodservice systems. Institutional, community and commercial settings. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: (NU FS 363 or 361), NU FS 461, NUTR 466 and (AREC 323 or alternate business course). Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","[['(NU FS 363', '(NU FS 61)'], 'NU FS 461', 'NUTR 466', ['(AREC 323', 'ALTERNATE BUSINESS COURSE)']]",
NUTR 471B,"Practical experience in assessment, planning implementation and evaluation of food service systems. Institutional, community and commercial settings. Open only to students accepted into the Integrated Dietetic Internship Program. Prerequisites: (NU FS 363 or 361) and NU FS 461 and (AREC 323 or AG EC 323 or alternate business course). Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","[['(NU FS 363', '(NU FS 61)'], 'NU FS 461', ['(AREC 323', 'AG EC 323', 'ALTERNATE BUSINESS COURSE)']]",
NUTR 472,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: NUTR 466, 469 and 476. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NUTR 466', 'NUTR 469', 'NUTR 476']",
NUTR 472A,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: NUTR 466, 469 and 476. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NUTR 466', 'NUTR 469', 'NUTR 476']",
NUTR 472B,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Open only to students accepted into the Integrated Dietetic Internship. Prerequisites: NUTR 466, 469 and 476. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NUTR 466', 'NUTR 469', 'NUTR 476']",
NUTR 476,"The principles of diet therapy in selected areas of current interest. Emphasis on case studies, research, and practical problems in clinical dietetics. Prerequisites: NU FS 356, NU FS 377, NUTR 302, and NUTR 468. May contain alternative delivery sections refer to the Tuition and Fees page in the University Regulations section of the Calendar.","['NU FS 356', 'NU FS 377', 'NUTR 302', 'NUTR 468']",
NUTR 477,"Builds on concepts learned in introductory community nutrition that relate to health promotion, food security, policy, program planning and community nutrition throughout the lifecycle. Students will develop the skills to write a community grant application. Prerequisites: (NUTR 302 or NU FS 305), NU FS 356 and NU FS 377.","[['(NUTR 302', 'NU FS 305)'], 'NU FS 356', 'NU FS 377']",
NUTR 479,"A lecture and reading course in vitamins and inorganic elements. Introduction to seminar presentation and critical evaluation of current literature. Students will learn how to write a scientific paper. Graduate students may not register for credit (see AFNS 579). Credit will only be given for one of AFNS 579, NUTR 479 and NU FS 479. Prerequisites: NUTR 301 or 303 and NUTR 302 or 304.","[['NUTR 301', 'NUTR 303'], ['NUTR 302', 'NUTR 304']]",
NUTR 482,"Lectures and discussion to improve readiness of students to work independently in the development of professional practice skills in dietetics. Required before placement in NUTR 483, 484, 485, 486, 487 and 488. Prerequisites: NU FS 223, NU FS 250, NU FS 356, NU FS 373, NU FS 377, NUTR 301, NUTR 302, and NUTR 468. Corequisite: NUTR 476.","['NU FS 223', 'NU FS 250', 'NU FS 356', 'NU FS 373', 'NU FS 377', 'NUTR 301', 'NUTR 302', 'NUTR 468']",['NUTR 476']
NUTR 483,"Practical experience in provision of nutrition care, focusing on basic skills of assessment, planning, implementation and evaluation. Continuing care agencies, rural health centres and acute care hospitals. Prerequisite: NUTR 482.",['NUTR 482'],
NUTR 484,"Practical experience in assessing needs; program planning; implementation; and evaluation in a variety of community settings. Prerequisites: NU FS 223, NU FS 377, and NUTR 482.","['NU FS 223', 'NU FS 377', 'NUTR 482']",
NUTR 485,This course builds on NUTR 470 to enable students to consolidate skills and competency in assessing needs; program planning; implementation; and evaluation in a variety of community settings. Prerequisite: NUTR 484.,['NUTR 484'],
NUTR 486,"Practical experience in assessing; process planning and implementation; and evaluation of foodservice and management operations in a variety of settings. Prerequisites: (NU FS 363 or 361), NU FS 461, ACCTG 300, (SMO 200 or 301).","[['(NU FS 363', '(NU FS 61)'], 'NU FS 461', 'ACCTG 300', ['(SMO 200', '(SMO 01)']]",
NUTR 487,This course builds on NUTR 472 to enable students to consolidate skills and competency in assessing; process planning and implementation; and evaluation of food service and management operations in a variety of settings. Prerequisite: NUTR 486.,['NUTR 486'],
NUTR 488,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Prerequisites: NUTR 476, NUTR 482, and NUTR 483.","['NUTR 476', 'NUTR 482', 'NUTR 483']",
NUTR 488A,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Prerequisites: NUTR 476, 482 and 483.","['NUTR 476', 'NUTR 482', 'NUTR 483']",
NUTR 488B,"Practical experience in a variety of acute, continuing care and ambulatory care settings. The student is expected to demonstrate professional competencies in assessment, planning, development and monitoring of nutrition care plans for patients and clients. Prerequisites: NUTR 476, 482 and 483.","['NUTR 476', 'NUTR 482', 'NUTR 483']",
PL SC 100,"Issues related to the importance of plants in our lives, including global food security, interactions between agriculture and the environment, the role of crops in human and animal nutrition, and the potential development of biofuels, biofibers, biopharmaceutical, and bioindustrial crops. Not available to students with 60 units in Agricultural, Life and Environmental Sciences. This course does not substitute for PL SC 221 in the program core. Prerequisite: Biology 30 recommended.",['BIOLOGY 30 RECOMMENDED'],
PL SC 200,"A hands-on, experiential education course taught at Devonian Botanic Garden. Students will learn relevant plant anatomy, an introduction to horticultural methods, garden plant basic needs, soil development, pruning practice, vegetable production examples, and contrast between home gardening and commercial production systems. Discussions and readings will incorporate sustainable practices, food security, local food movement, and environmental footprint.",,
PL SC 210,"Introduction to basic agronomy of western Canadian field crops. Students will experience agronomic practices, crop equipment and technology hands-on. Extended field trip prior to the start of classes. Prerequisite: 30 units.",['30 UNITS'],
PL SC 221,"Principles of plant science for use in agriculture, forestry and environmental sciences. Emphasis on vascular plants in an applied context. Topics include: plant structure and function; reproduction and development; and diversity and management of vegetation and crops. Not to be taken if credit received for BOT 205. [Offered jointly by the Departments of Agricultural, Food and Nutritional Science and Renewable Resources].",,
PL SC 310,"Introduction to the principles and practices of insect management within cropping systems, with emphasis on insect management in western Canadian field crops. Topics include methods of sampling, monitoring, and forecasting, estimating yield losses, economic thresholds, role of beneficial insects and integrated pest management strategies. Prerequisite: 3 units in BIOL.",['3 UNITS IN BIOL'],
PL SC 324,"Study of crop production as influenced by plant-plant and plant-environment interactions, as well as management practices. Topics may include photosynthetic efficiency, growth analysis, competition and facilitation in monocrops and mixtures, response to climate change and environmental stress, use of genetically modified organisms and contrasting world crop production systems. Prerequisite: PL SC 221 or BOT 205.","[['PL SC 221', 'BOT 205']]",
PL SC 345,"Agronomy, breeding, biochemistry, biotechnology, and ecological issues related to production of plants for bioproducts. Topics selected from biodiesel, fuel ethanol, biolubricants, bioplastic, platform biochemicals, and starch and protein for nonfood applications. Prerequisite: BIOL 107, PL SC 221, or CHEM 164.","['BIOL 107', 'PL SC 221', ['CHEM 164']]",
PL SC 352,"Biology and ecology of invasive alien species in cropped, disturbed, and natural environments. Methods of control of weedy species, including biological, cultural, mechanical, and chemical and an introduction to the herbicide mechanism of action and environmental impacts. Prerequisite: PL SC 221 recommended.",['PL SC 221 RECOMMENDED'],
PL SC 354,"The establishment, management, conservation and utilization of forages. Morphological structure and adaptation of the principal forage grasses and legumes. Prerequisite: PL SC 221 or consent of Instructor.",['PL SC 221'],
PL SC 355,"The role of cereals, oilseeds, and pulse crops in Western Canadian agricultural systems. Their botanical, physiological, agricultural, and market quality characteristics. Prerequisite: PL SC 221 or consent of Instructor.",['PL SC 221'],
PL SC 365,An introduction to the basic principles and concepts applied for the genetic improvement of crop plants. This will also include different plant breeding methods and tools used for the development of crop cultivars. Not to be taken if credit received for PL SC 465. Prerequisites: BIOL 107 or PL SC 221.,"[['BIOL 107', 'PL SC 221']]",
PL SC 380,"An introduction to plant diseases; the nature of nonparasitic and parasitic causal agents such as air pollutants, temperature, viruses, bacteria, fungi, higher plants and nematodes; principles involved in disease prevention and control. Prerequisite: BIOL 107 recommended.",['BIOL 107 RECOMMENDED'],
PL SC 400,"Project or reading course supervised by a Faculty member, requiring preparation of a comprehensive report. Prerequisites: 60 units of university courses or higher and consent of the instructor. Note: may be taken more than once if topic is different.","[['60 UNITS OF UNIVERSITY COURSES', 'HIGHER']]",
PL SC 470,"Absorption, translocation, degradation, mechanism of action. Normally offered in alternate years. Prerequisites: PL SC 352 and BOT 340.","['PL SC 352', 'BOT 340']",
PL SC 481,"Diseases of cereal, oilseed, pulse, forage, vegetable, fruit and ornamental crops. Normally offered in alternate years. Prerequisite: PL SC 380.",['PL SC 380'],
PL SC 491,"The use of biotechnology, including genetic engineering, to improve crop plants. Topics covered will include developing genetically modified organisms (GMOs) with an emphasis on crop plants, the application of specific techniques to improve crop productivity, enhancing nutritional characteristics, phytoremediation and the production of pharmaceuticals and other plant products. Not to be taken if credit received for BOT 382. Prerequisites: BIOL 207 or (BIOL 107 and PL SC 221). BOT 205 and BIOCH 200 recommended.","[['BIOL 207', '(BIOL 107'], 'PL SC 221)']",
PL SC 495,"Integrated agronomic, mechanical, biological, and chemical control of insects, disease organisms and weeds that interfere with field crop and horticultural crop production. Prerequisites: PL SC 310, PL SC 352, and PL SC 380; one course may be taken as a corequisite.","['PL SC 310', 'PL SC 352', 'PL SC 380']",
PL SC 499,"This course is intended as the capstone course for crop science, and other majors, and provides an opportunity for students to integrate their knowledge about various aspects of crop management, and environmental and economic sustainability. The course centers on the completion of a group project. Lecture time will be divided between traditional lectures and guest lectures to facilitate interactions with agricultural professionals, and project management to engage students with real-world agricultural challenges. Prerequisites: PL SC 355, REN R 210, and 6 units from: PL SC 310, PL SC 324, PL SC 352, PL SC 380.","['PL SC 355', 'REN R 210', '6 UNITS FROM: PL SC 310', 'PL SC 324', 'PL SC 352', 'PL SC 380']",
R SOC 260,"An introduction to the intersections of environmental and conservation sciences and Indigenous peoples, knowledges, practices and beliefs. Topics include: Indigenous knowledge in the management of forests, rangelands, fisheries, wildlife, water resources and the reclamation of valued landscapes, environmental issues facing Indigenous peoples in different places, and Indigenous rights, laws and consultation requirements. Students are encouraged to enroll in their first or second year of study.",,
R SOC 271,"Students will gain a sociological understanding of contemporary Canadian politics in the food and natural resources sectors. Examination of the nature of political organizations and policymaking in Canada; the particular roles played by the state, the public, and certain sectors of civil society, including social movements, industry organizations, labour unions, scientific organizations, and rural and Indigenous peoples. Contemporary case studies may include climate change and energy dependence, genetic engineering in agribusiness, the organic food products movement, mining in the circumpolar north, forestry expansion in the boreal region and cod management in the Atlantic fisheries. Not to be taken if credit received for ENCS 271 or REN R 271.",,
R SOC 355,The historic and contemporary role of rural regions and extractive economies in the global marketplace is discussed from a macrosociological perspective. Sociological concepts are applied to the study of the structural constraints and opportunities facing social and economic systems in rural regions. Prerequisite: 30 units or more of university level course work.,"[['30 UNITS', '30 U M', 'E OF UNIVERSITY LEVEL COURSE W', 'E OF UNIVERSITY LEVEL COUR K']]",
R SOC 365,"Examines the relationship between development and environment at the local, regional, national and international levels. Critically discusses development strategies, the environmental and social forces promoting them, and the distribution of environmental and social impacts. Also examines alternative development strategies, sustainable development experiences and relevant international policy.",,
R SOC 375,"The anatomy of environmental and resource management conflict is examined through a lens of critical sociological theory and deliberative democracy. Focusing on contemporary case studies of conflict in energy production, forestry, conservation and protected areas management, social practices and strategies for conflict resolution are explored. Prerequisite: 54 units or consent of instructor.",['54 UNITS'],
R SOC 400,Individual study. Study of selected topic or problem requiring both written and oral reports. Prerequisite: consent of the Department Chair. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,['CONSENT OF THE DEPARTMENT CHAIR'],
R SOC 410,"Empirical applications of theory and methods used in environmental sociology, rural sociology, and natural resource sociology. Involves one or more case study projects that focus on conceptual understandings, field research methods, and policy analysis in the human dimensions of resource management. Prerequisite: R SOC 355, R SOC 365, or R SOC 450.","['R SOC 355', 'R SOC 365', ['R SOC 450']]",
R SOC 416,"Designed for students seeking knowledge and skills for applied and collaborative social science research. Draws on diverse methodological theories with emphasis on themes, issues and tools needed for engaged scholarship. Prerequisite: R SOC 365.",['R SOC 365'],
R SOC 443,"This course explores the links between community and environmental sustainability using the lens of social-ecological resilience. What values/beliefs, knowledge, practices and norms have contributed towards the sustainability of local resources and ecosystems? How are small social groups demonstrating resilience in the face of larger scale political, economic, cultural, and environmental change? Drawing on interdisciplinary social science literature, the course critically discusses concepts, theories and issues of resilience from around the globe. Normally offered in alternate years. Prerequisite: 60 units.",['60 UNITS'],
R SOC 450,"Introduction to a field in sociological inquiry that addresses how individuals and groups influence, and are influenced by, natural resources and environmental conditions. Examination of individual-level influences, such as beliefs, attitudes, and behaviors, as well as broader social-level influences at the institutional and organizational level. Focus is on providing an understanding and appreciation for the interaction between human attitudes, behaviors, and organizations with other components of the ecosystem. Prerequisite: 60 units or more. An introductory Sociology course is strongly recommended.","[['60 UNITS', '60 U M', '60 U E']]",
R SOC 460,"Traditional Knowledge is recognized as integral to environmental sustainability and the social and cultural well-being of indigenous peoples. The course focuses on the development of Traditional Knowledge as a field of inquiry and policy debate in Canadian society. Critical attention to the history, politics and theory behind its definition, classification and use will provide students with perspectives on its importance in addressing emergent issues of environmental change. Normally offered in alternate years. Prerequisite: 60 units.",['60 UNITS'],
R SOC 500,Individual study. Investigations of a special problem involving field or library study and preparation of written reports. Prerequisite: consent of the Department Chair.,['CONSENT OF THE DEPARTMENT CHAIR'],
R SOC 515,"Principles and practice of social research within environmental and natural resource sociology. Topics include survey research, evaluation research, data collection, multi-variable analysis, and report writing. Prerequisite: SOC 315 or equivalent.",['SOC 315'],
R SOC 516,"Designed for students seeking knowledge and skills for applied and collaborative social science research. Draws on diverse methodological theories with emphasis on themes, issues and tools needed for engaged scholarship. Not to be taken if credit received for R SOC 416. Prerequisite: consent of instructor.",,
R SOC 543,"This course explores the links between community and environmental sustainability using the lens of social-ecological resilience. What values / beliefs, knowledge, practices and norms have contributed towards the sustainability of local resources and ecosystems? How are small social groups demonstrating resilience in the face of larger scale political, economic, cultural, and environmental change? Drawing on interdisciplinary social science literature, the course critically discusses concepts, theories and issues of resilience from around the globe. Normally offered in alternate years. Not to be taken if credit received for R SOC 443. Prerequisite: consent of instructor.",,
R SOC 551,"Public engagement has become increasingly prevalent within contemporary democratic systems of government. This course explores the rationales behind the growth of engagement, and critically examines evolving practice and institutional uptake. An important theme of the course involves and examination of the degree to which citizen engagement contributes to policy and governance adaptation, particularly in response to calls for governance innovations in the face of complex and persistent policy challenges (for instance as related to sustainability or social justice).",,
R SOC 555,In-depth examination of a select set of current theoretical and empirical areas in the sub-discipline of environmental sociology. Examines the relationships among various environmental and social problems and how such problems and undesirable conditions can be and are being addressed. Prerequisite: R SOC 450.,['R SOC 450'],
R SOC 558,"Theoretical and empirical research on the study of environmental risk in the social sciences, and their application in various institutional areas. Divergent theoretical perspectives on risk within the social sciences, directions taken by empirical researchers in the analysis of the construction and perception of environmental risk, as well as current institutional mechanisms for risk management and social impact assessment. Prerequisite: consent of Instructor.",,
R SOC 559,"Covers classic and contemporary theories of states and social movements and their application to environmental and ecological issues. Topics include the Environmental State; relationships among state and societal forces; sub-national, national, and international environmental politics; political distinctions among environmental and ecological issues; and the potential for sustainability governance. Prerequisite: consent of Instructor.",,
R SOC 560,"Traditional Knowledge is recognized as integral to environmental sustainability and the social and cultural well-being of indigenous peoples. The course focuses on the development of Traditional Knowledge as a field of inquiry and policy debate in Canadian society. Critical attention to the history, politics and theory behind its definition, classification and use will provide students with perspectives on its importance in addressing emergent issues of environmental change. Normally offered in alternate years. Not to be taken if credit received for R SOC 460. Prerequisite: consent of instructor.",,
R SOC 600,"Analysis of selected research problems and design of research projects in rural, resource, environmental and development sociology. Prerequisite: Consent of Department Chair.",['CHAIR'],
R SOC 650,"Introduction to a field in sociological inquiry that addresses how individuals and groups influence, and are influenced by, natural resources and environmental conditions. Examination of individual-level influences, such as beliefs, attitudes, and behaviors, as well as broader social-level influences at the institutional and organizational level. Focus is on providing an understanding and appreciation for the interaction between human attitudes, behaviors, and organizations with other components of the ecosystem. Prerequisite: consent of instructor. Not to be taken if credit received for R SOC 450",,
R SOC 655,The historic and contemporary role of rural regions and extractive economies in the global marketplace is discussed from a macrosociological perspective. Sociological concepts are applied to the study of the structural constraints and opportunities facing social and economic systems in rural regions. Prerequisite: consent of instructor. Not to be taken if credit received for R SOC 355.,,
R SOC 665,"Examines the relationship between development and environment at the local, regional, national and international levels. Critically discusses development strategies, the environmental and social forces promoting them, and the distribution of environmental and social impacts. Also examines alternative development strategies, sustainable development experiences and relevant international policy. Prerequisite: consent of instructor. Not to be taken if credit received for R SOC 365.",,
R SOC 675,"The anatomy of environmental and resource management conflict is examined through a lens of critical sociological theory and deliberative democracy. Focusing on contemporary case studies of conflict in energy production, forestry, conservation and protected areas management, social practices and strategies for conflict resolution are explored. Prerequisite: consent of instructor. Not to be taken if credit received for R SOC 375.",,
REN R 100,"An introduction to forest trees, plants, insects, fungi, fire, biodiversity and ecology. Discusses the use of forests for wood products recreation, watersheds, wildlife, carbon, and overall management and policies in Alberta and elsewhere.",,
REN R 101,"A general overview of the practice of Forestry. This orientation includes an introduction to basic forest measurements, forest management practices, and will include tours of a number of major forest operations in Alberta. Course runs for six days just prior to Fall registration and includes a seminar where students can connect with forestry professors and professionals. Requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.",,
REN R 105,"This course introduces students to environmental sciences by exploring the relationship between humans and their environment; especially the issues and science on the biosphere, atmosphere, and its species. Emphasis is on understanding our natural environment, our human impacts, and approaches to sustaining, managing, and restoring our natural resources using real-world issues such as climate change and biodiversity conservation.",,
REN R 110,"Designed to introduce students to the principles and practices of measuring various natural resources and to the visualization, interpretation, and management of data.",,
REN R 120,"Introduction to the classification, identification, distribution, habitat, and ecology of common trees, shrubs and herbaceous species typically found in Alberta and beyond. Lecture and labs emphasize the recognition of identifying characteristics and the use of dichotomous keys to identify about 250 plant species including higher taxa. A self-directed plant collection is mandatory and registered students are encouraged to contact the instructor during the summer months for instructions. Field exercises may take place off campus. This course requires payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.",,
REN R 200,"Forests are key to sustaining biodiversity and critical services for society. This course examines interrelationships among forest ecosystem components including climate, soils, trees, plants, insects, wildlife, water, and people. Exploration of the scientific basis, and contemporary challenges in the protection and sustainable management of forests ecosystems. Not to be taken if credit received for REN R 100. Not open to students in the BSc in Forestry or BSc in Forest Business Management programs.",,
REN R 201,"Methods and applications of geographic information systems (GIS), including global positioning systems (GPS), photogrammetry, air photo interpretation and LIDAR, as they relate to natural resource management.",,
